2024-07-03(00-02:48,03-05:0,06-08:0,09-11:0,12-14:67,15-17:28,18-20:35,21-23:0)
2024-07-04(00-02:0,03-05:0,06-08:0,09-11:2,12-14:3,15-17:5,18-20:0,21-23:0)
2024-07-05(00-02:3,03-05:0,06-08:0,09-11:0,12-14:0,15-17:1,18-20:0,21-23:14)
2024-07-06(00-02:23,03-05:0,06-08:0,09-11:0,12-14:0,15-17:0,18-20:0,21-23:0)
2024-07-07(00-02:0,03-05:0,06-08:0,09-11:0,12-14:1,15-17:11,18-20:13,21-23:0)
2024-07-08(00-02:0,03-05:0,06-08:0,09-11:0,12-14:3,15-17:5,18-20:3,21-23:0)
2024-07-09(00-02:0,03-05:0,06-08:0,09-11:0,12-14:0,15-17:4,18-20:4,21-23:83)
2024-07-10(00-02:4,03-05:0,06-08:0,09-11:0,12-14:0,15-17:0,18-20:6,21-23:70)
2024-07-11(00-02:4,03-05:0,06-08:0,09-11:0,12-14:0,15-17:8,18-20:23,21-23:110)
2024-07-12(00-02:10,03-05:2,06-08:0,09-11:0,12-14:0,15-17:0,18-20:0,21-23:0)
2024-07-13(00-02:0,03-05:0,06-08:0,09-11:0,12-14:0,15-17:0,18-20:1,21-23:0)
2024-07-14(00-02:2,03-05:0,06-08:0,09-11:0,12-14:0,15-17:0,18-20:10,21-23:0)
2024-07-15(00-02:0,03-05:0,06-08:0,09-11:0,12-14:0,15-17:2,18-20:6,21-23:0)
2024-07-16(00-02:0,03-05:0,06-08:0,09-11:0,12-14:0,15-17:8,18-20:6,21-23:47)
2024-07-17(00-02:0,03-05:0,06-08:0,09-11:0,12-14:0,15-17:0,18-20:0,21-23:4)
2024-07-18(00-02:5,03-05:0,06-08:0,09-11:0,12-14:0,15-17:4,18-20:0,21-23:0)
2024-07-19(00-02:28,03-05:0,06-08:0,09-11:0,12-14:0,15-17:0,18-20:2,21-23:0)
2024-07-20(00-02:0,03-05:0,06-08:0,09-11:0,12-14:0,15-17:0,18-20:1,21-23:0)
2024-07-21(00-02:0,03-05:0,06-08:0,09-11:0,12-14:0,15-17:5,18-20:0,21-23:0)
2024-07-22(00-02:2,03-05:0,06-08:0,09-11:0,12-14:0,15-17:6,18-20:3,21-23:3)
2024-07-23(00-02:47,03-05:45,06-08:0,09-11:0,12-14:0,15-17:2,18-20:0,21-23:0)
