2024-07-03(00-02:95,03-05:4,06-08:0,09-11:7,12-14:175,15-17:53,18-20:35,21-23:0)
2024-07-04(00-02:0,03-05:0,06-08:0,09-11:7,12-14:4,15-17:0,18-20:7,21-23:0)
2024-07-05(00-02:5,03-05:0,06-08:0,09-11:1,12-14:0,15-17:1,18-20:0,21-23:17)
2024-07-06(00-02:10,03-05:0,06-08:0,09-11:0,12-14:0,15-17:0,18-20:0,21-23:0)
2024-07-07(00-02:0,03-05:0,06-08:0,09-11:0,12-14:2,15-17:8,18-20:5,21-23:0)
2024-07-08(00-02:0,03-05:0,06-08:0,09-11:0,12-14:8,15-17:8,18-20:1,21-23:0)
2024-07-09(00-02:0,03-05:0,06-08:0,09-11:0,12-14:0,15-17:33,18-20:5,21-23:21)
2024-07-10(00-02:5,03-05:0,06-08:0,09-11:0,12-14:6,15-17:72,18-20:17,21-23:0)
2024-07-11(00-02:0,03-05:0,06-08:0,09-11:0,12-14:0,15-17:28,18-20:56,21-23:72)
2024-07-12(00-02:0,03-05:0,06-08:0,09-11:0,12-14:42,15-17:11,18-20:0,21-23:0)
2024-07-13(00-02:0,03-05:0,06-08:0,09-11:0,12-14:0,15-17:0,18-20:0,21-23:2)
2024-07-14(00-02:0,03-05:0,06-08:0,09-11:0,12-14:1,15-17:0,18-20:15,21-23:0)
2024-07-15(00-02:46,03-05:0,06-08:3,09-11:2,12-14:2,15-17:79,18-20:4,21-23:0)
2024-07-16(00-02:0,03-05:0,06-08:0,09-11:0,12-14:6,15-17:11,18-20:5,21-23:78)
2024-07-17(00-02:7,03-05:0,06-08:0,09-11:2,12-14:3,15-17:0,18-20:0,21-23:11)
2024-07-18(00-02:7,03-05:0,06-08:0,09-11:0,12-14:8,15-17:7,18-20:1,21-23:0)
2024-07-19(00-02:27,03-05:0,06-08:0,09-11:0,12-14:5,15-17:0,18-20:0,21-23:0)
2024-07-20(00-02:0,03-05:0,06-08:0,09-11:0,12-14:1,15-17:0,18-20:0,21-23:0)
2024-07-21(00-02:0,03-05:0,06-08:0,09-11:0,12-14:0,15-17:40,18-20:0,21-23:0)
2024-07-22(00-02:0,03-05:0,06-08:0,09-11:0,12-14:0,15-17:0,18-20:5,21-23:13)
2024-07-23(00-02:1,03-05:0,06-08:3,09-11:0,12-14:64,15-17:0,18-20:0,21-23:0)
