2024-07-03(00-02:59,03-05:0,06-08:0,09-11:7,12-14:144,15-17:57,18-20:42,21-23:0)
2024-07-04(00-02:0,03-05:0,06-08:0,09-11:1,12-14:1,15-17:7,18-20:17,21-23:4)
2024-07-05(00-02:8,03-05:0,06-08:0,09-11:5,12-14:0,15-17:1,18-20:0,21-23:20)
2024-07-06(00-02:37,03-05:0,06-08:0,09-11:0,12-14:0,15-17:0,18-20:0,21-23:0)
2024-07-07(00-02:0,03-05:0,06-08:0,09-11:0,12-14:1,15-17:15,18-20:18,21-23:0)
2024-07-08(00-02:0,03-05:0,06-08:0,09-11:4,12-14:13,15-17:21,18-20:4,21-23:0)
2024-07-09(00-02:0,03-05:0,06-08:0,09-11:11,12-14:1,15-17:178,18-20:52,21-23:89)
2024-07-10(00-02:3,03-05:0,06-08:0,09-11:14,12-14:10,15-17:182,18-20:7,21-23:44)
2024-07-11(00-02:2,03-05:0,06-08:2,09-11:31,12-14:15,15-17:104,18-20:23,21-23:215)
2024-07-12(00-02:22,03-05:0,06-08:5,09-11:20,12-14:12,15-17:91,18-20:0,21-23:0)
2024-07-13(00-02:0,03-05:0,06-08:0,09-11:0,12-14:0,15-17:0,18-20:1,21-23:0)
2024-07-14(00-02:3,03-05:0,06-08:0,09-11:0,12-14:4,15-17:0,18-20:59,21-23:4)
2024-07-15(00-02:42,03-05:0,06-08:1,09-11:1,12-14:7,15-17:114,18-20:7,21-23:0)
2024-07-16(00-02:0,03-05:0,06-08:2,09-11:0,12-14:12,15-17:22,18-20:10,21-23:112)
2024-07-17(00-02:6,03-05:0,06-08:0,09-11:4,12-14:17,15-17:17,18-20:10,21-23:18)
2024-07-18(00-02:0,03-05:0,06-08:0,09-11:4,12-14:47,15-17:20,18-20:0,21-23:0)
2024-07-19(00-02:24,03-05:0,06-08:0,09-11:25,12-14:33,15-17:73,18-20:0,21-23:0)
2024-07-20(00-02:0,03-05:0,06-08:0,09-11:0,12-14:0,15-17:0,18-20:1,21-23:0)
2024-07-21(00-02:0,03-05:0,06-08:0,09-11:0,12-14:0,15-17:38,18-20:1,21-23:0)
2024-07-22(00-02:17,03-05:0,06-08:0,09-11:0,12-14:0,15-17:19,18-20:7,21-23:26)
2024-07-23(00-02:0,03-05:0,06-08:6,09-11:22,12-14:282,15-17:51,18-20:0,21-23:0)
